,author,title,name,location,ecosystem,date,state,attribute,value
839,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst3,southwest slovenia,karst pond,,,chla,9.24
840,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst12,southwest slovenia,karst pond,,,chla,0.95
841,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst13,southwest slovenia,karst pond,,,chla,708.07
842,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst14,southwest slovenia,karst pond,,,chla,4.87
843,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst15,southwest slovenia,karst pond,,,chla,311.36
844,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst16,southwest slovenia,karst pond,,,chla,0.57
845,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst18,southwest slovenia,karst pond,,,chla,36.49
846,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst19,southwest slovenia,karst pond,,,chla,65.19
847,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst20,southwest slovenia,karst pond,,,chla,49.26
848,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst17,southwest slovenia,karst pond,,,chla,1.52
849,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst4,southwest slovenia,karst pond,,,chla,36.33
850,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst5,southwest slovenia,karst pond,,,chla,58.38
851,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst6,southwest slovenia,karst pond,,,chla,35.03
852,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst7,southwest slovenia,karst pond,,,chla,116.76
853,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst8,southwest slovenia,karst pond,,,chla,6.81
854,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst9,southwest slovenia,karst pond,,,chla,157.6
855,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst10,southwest slovenia,karst pond,,,chla,22.87
856,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst11,southwest slovenia,karst pond,,,chla,16.97
857,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst1,southwest slovenia,karst pond,,,chla,0.86
858,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst21,southwest slovenia,karst pond,,,chla,0.01
859,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst2,southwest slovenia,karst pond,,,chla,27.11
860,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst22,southwest slovenia,karst pond,,,chla,13.34
861,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst24,southwest slovenia,karst pond,,,chla,27.8
862,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst25,southwest slovenia,karst pond,,,chla,98.27
863,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst26,southwest slovenia,karst pond,,,chla,7.78
864,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst27,southwest slovenia,karst pond,,,chla,0.28
865,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst28,southwest slovenia,karst pond,,,chla,2.24
866,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst23,southwest slovenia,karst pond,,,chla,9.34
867,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst20,southwest slovenia,karst pond,,,max_depth,0.2
868,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst7,southwest slovenia,karst pond,,,max_depth,0.8
869,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst1,southwest slovenia,karst pond,,,max_depth,0.7
870,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst6,southwest slovenia,karst pond,,,max_depth,0.4
871,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst2,southwest slovenia,karst pond,,,max_depth,1.5
872,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst3,southwest slovenia,karst pond,,,max_depth,0.3
873,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst4,southwest slovenia,karst pond,,,max_depth,1.2
874,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst28,southwest slovenia,karst pond,,,max_depth,1.3
875,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst27,southwest slovenia,karst pond,,,max_depth,0.3
876,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst26,southwest slovenia,karst pond,,,max_depth,0.9
877,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst25,southwest slovenia,karst pond,,,max_depth,1.0
878,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst24,southwest slovenia,karst pond,,,max_depth,2.2
879,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst23,southwest slovenia,karst pond,,,max_depth,2.6
880,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst5,southwest slovenia,karst pond,,,max_depth,3.3
881,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst22,southwest slovenia,karst pond,,,max_depth,0.9
882,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst19,southwest slovenia,karst pond,,,max_depth,0.3
883,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst8,southwest slovenia,karst pond,,,max_depth,0.2
884,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst11,southwest slovenia,karst pond,,,max_depth,3.0
885,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst10,southwest slovenia,karst pond,,,max_depth,0.6
886,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst18,southwest slovenia,karst pond,,,max_depth,1.1
887,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst9,southwest slovenia,karst pond,,,max_depth,1.3
888,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst12,southwest slovenia,karst pond,,,max_depth,0.7
889,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst13,southwest slovenia,karst pond,,,max_depth,0.5
890,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst14,southwest slovenia,karst pond,,,max_depth,0.4
891,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst15,southwest slovenia,karst pond,,,max_depth,0.5
892,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst16,southwest slovenia,karst pond,,,max_depth,0.6
893,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst17,southwest slovenia,karst pond,,,max_depth,1.0
894,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst21,southwest slovenia,karst pond,,,max_depth,0.3
895,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst25,southwest slovenia,karst pond,,,ph,8.3
896,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst26,southwest slovenia,karst pond,,,ph,7.9
897,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst27,southwest slovenia,karst pond,,,ph,6.7
898,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst28,southwest slovenia,karst pond,,,ph,6.5
899,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst9,southwest slovenia,karst pond,,,ph,6.0
900,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst24,southwest slovenia,karst pond,,,ph,7.2
901,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst8,southwest slovenia,karst pond,,,ph,6.0
902,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst7,southwest slovenia,karst pond,,,ph,6.1
903,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst6,southwest slovenia,karst pond,,,ph,6.5
904,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst1,southwest slovenia,karst pond,,,ph,7.2
905,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst2,southwest slovenia,karst pond,,,ph,6.3
906,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst3,southwest slovenia,karst pond,,,ph,6.5
907,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst10,southwest slovenia,karst pond,,,ph,6.4
908,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst23,southwest slovenia,karst pond,,,ph,6.5
909,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst22,southwest slovenia,karst pond,,,ph,6.3
910,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst13,southwest slovenia,karst pond,,,ph,8.2
911,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst14,southwest slovenia,karst pond,,,ph,6.9
912,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst15,southwest slovenia,karst pond,,,ph,6.5
913,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst16,southwest slovenia,karst pond,,,ph,7.6
914,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst17,southwest slovenia,karst pond,,,ph,6.8
915,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst18,southwest slovenia,karst pond,,,ph,7.2
916,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst12,southwest slovenia,karst pond,,,ph,7.2
917,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst19,southwest slovenia,karst pond,,,ph,6.3
918,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst20,southwest slovenia,karst pond,,,ph,6.7
919,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst21,southwest slovenia,karst pond,,,ph,6.2
920,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst11,southwest slovenia,karst pond,,,ph,7.0
921,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst5,southwest slovenia,karst pond,,,ph,6.4
922,zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst4,southwest slovenia,karst pond,,,ph,6.9
923,pierzchala; l.; sierka; e.; trzaski; l.; bondaruk; j.; czuber; b.,evaluation of the suitability of anthropogenic reservoirs in urban space for ecological restoration using submerged plants (upper silesia; poland),pond 1,upper silesia; poland,pond,,,surface_area,12000.0
924,pierzchala; l.; sierka; e.; trzaski; l.; bondaruk; j.; czuber; b.,evaluation of the suitability of anthropogenic reservoirs in urban space for ecological restoration using submerged plants (upper silesia; poland),pond 32,upper silesia; poland,pond,,,surface_area,9500.0
925,pierzchala; l.; sierka; e.; trzaski; l.; bondaruk; j.; czuber; b.,evaluation of the suitability of anthropogenic reservoirs in urban space for ecological restoration using submerged plants (upper silesia; poland),pond 36,upper silesia; poland,pond,,,surface_area,11000.0
926,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,south twin lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,5.5
927,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,teardrop lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,5.25
928,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv lower lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,4.5
929,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv upper lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,5.5
930,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,potentilla lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,8.0
931,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,south twin lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,ph,7.9
932,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,potentilla lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,ph,7.2
933,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,teardrop lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,ph,9.2
934,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv lower lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,ph,8.9
935,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv upper lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,ph,7.0
936,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,teardrop lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,surface_area,9700.0
937,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,south twin lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,surface_area,31000.0
938,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,potentilla lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,surface_area,16000.0
939,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv upper lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,surface_area,2200.0
940,cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv lower lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,surface_area,15000.0
941,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,10,west central tailand,pond,,,ph,6.84
942,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,5,west central tailand,pond,,,ph,7.97
943,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,6,west central tailand,pond,,,ph,7.0
944,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,7,west central tailand,pond,,,ph,8.34
945,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,8,west central tailand,pond,,,ph,7.98
946,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,9,west central tailand,pond,,,ph,8.01
947,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,11,west central tailand,pond,,,ph,7.66
948,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,1,west central tailand,pond,,,ph,8.09
949,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,2,west central tailand,pond,,,ph,7.25
950,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,3,west central tailand,pond,,,ph,6.78
951,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,4,west central tailand,pond,,,ph,7.56
952,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,1,west central tailand,pond,,,surface_area,30.0
953,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,3,west central tailand,pond,,,surface_area,6.0
954,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,2,west central tailand,pond,,,surface_area,26.0
955,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,5,west central tailand,pond,,,surface_area,16.0
956,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,4,west central tailand,pond,,,surface_area,14.0
957,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,11,west central tailand,pond,,,surface_area,40.0
958,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,9,west central tailand,pond,,,surface_area,10.0
959,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,6,west central tailand,pond,,,surface_area,73.0
960,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,8,west central tailand,pond,,,surface_area,6.0
961,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,7,west central tailand,pond,,,surface_area,39.0
962,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,10,west central tailand,pond,,,surface_area,8.0
963,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,4,west central tailand,pond,,,vegetation_cover,75.3
964,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,5,west central tailand,pond,,,vegetation_cover,55.5
965,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,6,west central tailand,pond,,,vegetation_cover,79.8
966,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,8,west central tailand,pond,,,vegetation_cover,26.5
967,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,9,west central tailand,pond,,,vegetation_cover,45.8
968,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,10,west central tailand,pond,,,vegetation_cover,97.0
969,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,11,west central tailand,pond,,,vegetation_cover,41.3
970,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,7,west central tailand,pond,,,vegetation_cover,4.5
971,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,2,west central tailand,pond,,,vegetation_cover,80.3
972,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,3,west central tailand,pond,,,vegetation_cover,20.1
973,shieh & chi,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,1,west central tailand,pond,,,vegetation_cover,23.5
974,moreira; francisco wagner; dias; emerson silva; eskinazi sant'anna; eneida maria,first record of the endemic phytophilous cladoceran celsinotum candango sinev & elmoor-loureiro; 2010; in minas gerais state; in a threatened shallow lake at serra do gandarela,coutos lake,brazil,lake/pond,,,max_depth,1.5
975,moreira; francisco wagner; dias; emerson silva; eskinazi sant'anna; eneida maria,first record of the endemic phytophilous cladoceran celsinotum candango sinev & elmoor-loureiro; 2010; in minas gerais state; in a threatened shallow lake at serra do gandarela,coutos lake,brazil,lake/pond,,,vegetation_cover,100.0
976,granado-lorencio; carlos; gulfo; alejandra; alvarez; frank; jimenez-segura; luz fernanda; carvajal-quintero; juan david; hernandez-serna; andres,fish assemblages in floodplain lakes in a neotropical river during the wet season (magdalena river; colombia),tortugas,colombia,lake,,,ph,5.04
977,granado-lorencio; carlos; gulfo; alejandra; alvarez; frank; jimenez-segura; luz fernanda; carvajal-quintero; juan david; hernandez-serna; andres,fish assemblages in floodplain lakes in a neotropical river during the wet season (magdalena river; colombia),paticos,colombia,lake,,,ph,4.49
978,granado-lorencio; carlos; gulfo; alejandra; alvarez; frank; jimenez-segura; luz fernanda; carvajal-quintero; juan david; hernandez-serna; andres,fish assemblages in floodplain lakes in a neotropical river during the wet season (magdalena river; colombia),tortugas,colombia,lake,,,surface_area,50000.0
979,granado-lorencio; carlos; gulfo; alejandra; alvarez; frank; jimenez-segura; luz fernanda; carvajal-quintero; juan david; hernandez-serna; andres,fish assemblages in floodplain lakes in a neotropical river during the wet season (magdalena river; colombia),paticos,colombia,lake,,,surface_area,40000.0
980,bauer-haaz et al.,fish preference of the eurasian otter (lutra lutra) on an abandoned fish pond and the role of fish sampling methods,csombrdi,south-west hungary,near-natural ponds,,,max_depth,1.5
981,bauer-haaz et al.,fish preference of the eurasian otter (lutra lutra) on an abandoned fish pond and the role of fish sampling methods,csombrdi,south-west hungary,near-natural ponds,,,surface_area,70000.0
982,bauer-haaz et al.,fish preference of the eurasian otter (lutra lutra) on an abandoned fish pond and the role of fish sampling methods,csombrdi,south-west hungary,near-natural ponds,,,vegetation_cover,75.0
983,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,horkkajarvi,,lake,,,tp,114.5
984,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,botjarn,,lake,,,tp,13.5
985,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,alinen mustajarvi,,lake,,,tp,39.3
986,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,little turkey,canada,lake,,,tp,5.6
987,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,nakuru,,lake,,,tp,9850.0
988,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,wishart,,lake,,,tp,5.05
989,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,vitalampa,,lake,,,tp,16.5
990,downing et al.,fish production correlated with primary productivity; not the morphoedaphic index,ovre heimdalsvatn,,lake,,,tp,14.7
991,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,crystal lake club,illinois; usa,pond or small lake,,,surface_area,3035.145
992,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,farmer city,illinois; usa,pond or small lake,,,surface_area,3035.145
993,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,delta pond,illinois; usa,pond or small lake,,,surface_area,3237.488
994,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,edwards pond,illinois; usa,pond or small lake,,,surface_area,4046.86
995,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,jasper-pulaski pit,indiana; usa,pond or small lake,,,surface_area,4046.86
996,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,upper twin,illinois; usa,pond or small lake,,,surface_area,4370.6088
997,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,waltonian pond,illinois; usa,pond or small lake,,,surface_area,4451.546
998,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,kline's,illinois; usa,pond or small lake,,,surface_area,5260.918
999,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,lower twin,illinois; usa,pond or small lake,,,surface_area,5503.7296
1000,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,fork,illinois; usa,pond or small lake,,,surface_area,5584.6668
1001,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,jack's,illinois; usa,pond or small lake,,,surface_area,6070.29
1002,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,shell,illinois; usa,pond or small lake,,,surface_area,6070.29
1003,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,pond 4,michigan; usa,pond or small lake,,,surface_area,6474.976
1004,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,boddie pond,alabama; usa,pond or small lake,,,surface_area,7203.4108
1005,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,pond,alabama; usa,pond or small lake,,,surface_area,7284.348
1006,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,little steep pond,florida; usa,pond or small lake,,,surface_area,8498.406
1007,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,onized,illinois; usa,pond or small lake,,,surface_area,8660.2804
1008,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,triangle pond,illinois; usa,pond or small lake,,,surface_area,10117.15
1009,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,homewood,illinois; usa,pond or small lake,,,surface_area,11452.6138
1010,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,duck pond,illinois; usa,pond or small lake,,,surface_area,12545.266
1011,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,section four,michigan; usa,pond or small lake,,,surface_area,13354.638
1012,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,sportsmen's,illinois; usa,pond or small lake,,,surface_area,14973.382
1013,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,black jack,illinois; usa,pond or small lake,,,surface_area,16187.44
1014,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,big prairie pond,florida; usa,pond or small lake,,,surface_area,16187.44
1015,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,west lost,michigan; usa,pond or small lake,,,surface_area,16187.44
1016,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,south twin,michigan; usa,pond or small lake,,,surface_area,17401.498
1017,rounsefell,fish production in lakes as a guide for estimating production in proposed reservoirs,lost,michigan; usa,pond or small lake,,,surface_area,18615.556
