author,year,title,journal,citation,author_term,location,pondname,humanbuilt_manipulated,ponduse,landuse,managed,surfacewaterconnectivity,hydroperiod,min_depth_m,max_depth_m,mean_depth_m,min_surfacearea_m2,max_surfacearea_m2,mean_surfacearea_m2,fishpresence,macrophytespresence,macrophytes_percentcover,ph,turbidity_secchi_m,tss_mgpl,doc_mgpl,chla_ugpl,tp_ugpl,tn_ugpl,cond_uspcm
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,homewood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11452.6138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,duck pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12545.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,section four,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13354.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,sportsmen's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14973.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,black jack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16187.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,florida; usa,big prairie pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16187.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,west lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16187.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,south twin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17401.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18615.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,duck island farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19829.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,nova scotia; canada,mccormick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24281.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,hemlock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24281.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,fitsek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25090.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,crystal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25495.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,florida; usa,first pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28328.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,ontario; canada,glen major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32374.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,southside c. club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33993.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,buck's pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34802.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,indiana; usa,springwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40468.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,third sister,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40468.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,doyle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40468.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,ford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43301.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,ontario; canada,pearen's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44515.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45729.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,illinois; usa,weldon springs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48967.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,wisconsin; usa,east twin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52609.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,howe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54227.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,wisconsin; usa,west twin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54632.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,michigan; usa,standard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64749.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,florida; usa,buck pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72843.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,florida; usa,clearwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97124.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,wisconsin; usa,long,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109669.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,california; usa,frog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121405.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,wisconsin; usa,anderson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153780.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,indiana; usa,shoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169968.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,nova scotia; canada,jesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182108.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,wisconsin; usa,richter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186155.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rounsefell,1946,fish production in lakes as a guide for estimating production in proposed reservoirs,copeia,Rounsefell GA. 1946. Fish Production in Lakes as a Guide for Estimating Production in Proposed Reservoirs. COPEIA; 1:29. ,pond or small lake,indiana; usa,foots pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192225.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yasarer,2018,characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a mississippi watershed,hydrological sciences journal,Yasarer Lindsey M.W.; Ronald L. Bingner; Henrique G. Momm. 2018. Characterizing ponds in a watershed simulation and evaluating their influence on streamflow in a Mississippi watershed. Hydrological Sciences Journal; 63(2): 302-311.,small water bodies or ponds,mississippi; usa,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
